Id	idConcept	N1	N2	N3	N4	N5	N6	UF1	UF2	UF3	UF4	UF5	RT1	RT2	RT3	RT4	RT5	RT6	RT7	LANG1	LANG2	LANG3	LANG4	LANG5	LANG6	NOTE1	NOTE2	
1	12644	Cultures préhistoriques											expansion culturelle							Culturas prehistóricas(es)	Culture preistoriche(it)	Prähistorische Kulturen(de)	Prehistoric cultures(en)	prehistorische culturen(nl)	ثقافات عصور ما قبل التاريخ(ar)		
2	21697		Cultures américaines																	American cultures(en)	Amerikaanse culturen(nl)	Culturas americanas(es)	Culture americane(it)	Nordamerikanische Kulturen(de)	ثقافات أمريكية(ar)	Sont classées ci-dessous des cultures préhistoriques de l'Arctique et des continents américains. Dans l’Arctique central et oriental, le Paléoesquimau a été divisé en deux phases : inférieur (le Prédorsétien, l’Indépendencien, le Saqqaquien au Groenland, le Groswatérien dans l’Arctique canadien oriental) et supérieur (le Dorsétien). Dans l’arctique occidental, le Paléoesquimau regroupe la formation de Denbigh et des formations intégrant des traits de la tradition microlithique de l’Arctique telles que le Chorisien, le Nortonien, l’Ipiutakien, le Baleinier ancien et le Kachemakien (Dictionnaire de la Préhistoire 1994, 832).   Dès le début du XXe siècle, après la découverte d’une pointe de Folsom associée à une côte de bison en 1926, la multiplication des sites découverts en Amérique du nord a permis de les regrouper en un stade appelé alors Lithic. La découverte ensuite des sites antérieurs à ceux de la période paléoindienne a incité les chercheurs à distinguer deux périodes : la plus ancienne Préprojectile et et la plus récente Paléoindienne au sens strict.   En Amérique du nord, c’est dans le centre-ouest des Etats-Unis, les « plaines », que se retrouve le noyau des sites paléoindiens. Les cultures où se retrouvent des pointes asymétriques de type Sandia, ou à cannelure de type Clovis et Folsom, sont regroupées en un « horizon » appelé « Llano ». Le passage de celui-ci vers l’horizon « Plano » s’exprime par le passage de pointes à cannelure à une variété de pointes qui n’en possèdent pas, Agate Bassin, Plainview, Cody… Dans l’ouest américain, les sites à pointe à cannelure sont contemporains d’autres sites à pointe à base concave ou à pédoncule.   En Mésoamérique, le terme « tradition du Paléoindien » était employé pour désigner un Paléoindien considéré comme plus tardif que le Paléoindien nord-américain.   En Amérique du sud, le terme « Paléoindien » n’a été employé que dans les régions septentrionales (Colombie, Venezuela et Equateur). Dans les Andes, le terme adopté « Précéramique » ou « Archaïque » recouvre les périodes qui s’étendent de la première arrivée de l’homme jusqu’au début de la domestication des espèces végétales et animales vers 5000 av. J.-C. (Dictionnaire de la Préhistoire 1994, 833).   Les nouvelles données montrent que les continents américains ont été occupés pendant le Pléistocène avant la période Clovis. Par conséquent, le Paléoindien réservé auparavant à caractériser des cultures à pointe à cannelure de l’Amérique du Nord désigne aujourd’hui les premières cultures des continents américains adaptées aux environnements différents du Nouveau Monde (Isabell W.H. 2008, 1142-1143 in Handbook of South American archaeology; Pelder R. D., Adovasio M. J. 2011, 60-66 in Peuplements et Préhistoire en Amériques).	
3	21699			Cultures amérindiennes																American Indian cultures(en)	Amerikaanse Indiaanse culturen(nl)	Amerindianische Kulturen(de)	Culturas amerindias(es)	Culture amerindiane(it)	ثقافات هندوأمريكية(ar)		
4	21698			Cultures arctiques																Arctic Cultures(en)	Culturas esquimales(es)	Culture eschimesi(it)	Eskimo-culturen(nl)	Eskimo-Kulturen(de)	ثقافات القطب الشمالي(ar)	Pour l’Arctique, l’ancien concept de « Paléoesquimau » était apparu au début du XXe siècle alors que les anthropologues s’interrogeaient sur l’origine des Esquimaux. Progressivement, le terme « Paléoesquimau » a acquis une signification chronologique désignant une période préhistorique de l’Arctique américain et du Groenland au cours de laquelle des chasseurs alaskiens ou sibériens s’adaptèrent progressivement aux ressources côtières et occupèrent pour la première fois l’extrême nord du Canada, l’archipel Arctique, le Groenland, la moitié nord de la baie d’Hudson et le Québec nordique. Dans l’Arctique central et oriental, le Paléoesquimau a été divisé en deux phases : inférieure (le Prédorsétien, l’Indépendencien, le Saqqaquien au Groenland, le Groswatérien dans l’Arctique canadien oriental) et supérieur (le Dorsétien). Dans l’arctique occidental, le Paléoesquimau regroupe la formation de Denbigh et des formations intégrant des traits de la tradition microlithique de l’Arctique telles que le Chorisien, le Nortonien, l’Ipiutakien, le Baleinier ancien et le Kachemakien (Dictionnaire de la Préhistoire 1994, 832).	Terme récemment modifié.
5	18340				Dorsétien															Cultura di Dorset(it)	cultura Dorset(es)	Dorset culture(en)	Dorset-cultuur(nl)	Dorset-Kultur(de)	دورسيت(ar)	Le Dorsétien se divise en deux phases: ancienne de 500 av. J.-C. à 500 ap. J.-C.; récente de 500 à 1000/1400 ap.J.-C. (Houmard C. 2011, 169 in Peuplements et Préhistoire en Amériques). Cap et poste de traite au sud-ouest de la Terre de Baffin, golfe de Foxe, le site de Dorset est devenu l'éponyme de la culture du Paléoesquimau oriental. Cette culture s'étend sur le désert arctique entre l'Ile de Banks et le Groenland, les côtes boisées du Subarctique et tout autour de Terre-Neuve. Le Dorsétien se caractérise par un outillage essentiellement en pierre taillée dérivant de la tradition microlithique de l'arctique. Les dorsétiens dépendaient des mammifères marins (phoques et morses) mais chassaient aussi le caribou à l'intérieur des terres comme au lac Payne au nord du Québec (Dictionnaire de la Préhistoire 1997, 330).	
6	21701				Mésoesquimau															Mesoeschimese(it)	Mesoeskimo(en)	Meso-Eskimo(de)	Meso-Eskimo(nl)	Meso-esquimal(es)	إسكيمو وسيط(ar)		
7	21702				Néoesquimau															Neoeschimese(it)	Neoeskimo(en)	Neo-Eskimo(de)	Neo-Eskimo(nl)	Neo-esquimal(es)	إسكيمو حديث(ar)		
8	21700				Paléoesquimau															Paläo-Eskimo(de)	Paleoeschimese(it)	Paleoeskimo(en)	Paleo-Eskimo(nl)	Paleo-esquimal(es)	إسكيمو قديم(ar)		
9	24553				Prédorsétien															Prä-Dorset(de)	Pre-Dorset(es)	Pre-Dorset(it)	Pre-Dorset culture(en)	Pre-Dorset cultuur(nl)	ماقبل دورسيت(ar)	Ce terme désigna d'abord les formations archéologiques de l'Arctique antérieures au Dorsétien. En 1968, à partir des fouilles des sites Arnapik (île de Mansel) et Tayara (île Salluit), ce dernier montre que le Dorsétien avait évolué d'un Prédorsetien régional et qu'aucune influence allochtone ne semblait nécessaire pour expliquer cette évolution. Par la suite, le terme  Prédorsétien  désigna seulement l'une des formations du Paléoesqimau oriental, antérieur au Dorsétien de l'Arctique canadien. La région où le Prédorséteien est le plus anciennement et le mieux attesté est le golfe de Foxe, le détroit d'Hudson et le nord du Lagarador. Vers l'ouest, les sites sont plus rares et plus récents. Dans le golfe de Foxe, au sud de l'île de Baffin et au Labrador, la transition vers le Dorsétien est marquée par une exploitation orientée vers les ressources côtières (Leroi-Gourhan 1997, 899). Le Prédorsétien se devise en quatre phases: ancienne de 2500 à 1700 B.C.;  moyenne de 1700 à 1300B.C.; récente de 1300 à 800 B.C.; terminale de 800 à 500 B.C. (Houmard C. 2011, 169 in Peuplements et Préhistoire en Amériques)	
10	22579				Thulé															Thule(de)	Thule(es)	Thule(it)	Thule culture(en)	Thule cultuur(nl)	ثول(ar)	En Préhistoire, Thulé qualifie selon les contextes et les auteurs, une culture, une période, une tradition ou un mode de subsistance. La culture de Thulé prend ses racines au détroit de Béring et s’étend aux côtes alaskienne et sibérienne. En tant que période il y a une tendance à substituer au Thuléen le concept de Néoesquimau qui englobe aussi l'histoire des Inuit, des Yuti et des Kalaallit. En tant que tradition, Thulé désigne une série de cultures côtières de l'Arctique allant de l'Okvikien, dans le détroit de Béring, à l'Inugsuk au Groenland et correspond à ce qui est appelé: tradition baleinière de l'Arctique (Dictionnaire de la Préhistoire, 1997, 1089).	
11	35950			Cultures mésoaméricaines																Meso-Amerikaanse culturen(nl)	ثقافات أمريكا الوسطى(ar)						
12	35951				Chupícuaro culture			culture Chupícuaro												Chupícuaro cultuur(nl)	ثقافة شوبيكارو(ar)					De la période préclassique du Mexique	
13	150995			Cultures nordaméricaines																							
