Id	idConcept	N1	N2	N3	N4	N5	N6	UF1	UF2	UF3	UF4	UF5	RT1	RT2	RT3	RT4	RT5	LANG1	LANG2	LANG3	LANG4	LANG5	LANG6	NOTE1	NOTE2	
1	12422	textes juridiques																Juridical texts(en)	juridische teksten(nl)	Juristische Texte(de)	Testi giuridici(it)	Textos jurídicos(es)	نصوص قانونية(ar)		
2	12464		codes										code législatif					codes(en)	Codices(de)	codici legislativi(it)	códigos(es)	wetboeken(nl)	شرائع(ar)		
3	11958			Code de Hammourabi									littérature mésopotamienne					Code d'Hammourabi(it)	Codex Hammurabi(de)	Codex Hammurabi(nl)	Código de Hammurabi(es)	Hammurabi's Code(en)	شريعة حمورابي(ar)		
4	11956			Code Justinien				Code de Justinien										Code Justinien(it)	Codex Justinianus(de)	Codex Justinianus(nl)	Código de Justiniano(es)	Justinian's Code(en)	شريعة جوستينيان(ar)		
5	11957			Code Théodosien				Code de Théodose	Codex Theodosianus									Code Théodosien(it)	Codex Theodosianus(de)	Codex Theodosianus(en)	Codex Theodosianus(nl)	Código Teodosiano(es)	شريعة تيودوسيان(ar)		
6	11961			Codex diplomaticus cavensis														codex diplomaticus cavensis(nl)	Codex diplomaticus cavensis(de)	Codex diplomaticus cavensis(en)	Codex diplomaticus cavensis(es)	Codex diplomaticus cavensis(it)	شريعة كافينسيس الدبلوماسية(ar)		
7	12011			Digeste														Digest(en)	Digesta(de)	Digesta(nl)	Digeste(it)	Digesto(es)	مدونة جوستينيان(ar)	Recueil méthodique de droit romain : celui de Justinien (Lar.)	
8	12465		décrets										décret					decrees(en)	decreten(nl)	decreti(it)	decretos(es)	Dekrete(de)	مراسيم(ar)		
9	12021			Décret de Thémistocle														Decree of Themistocles(en)	Decreet van Themistokles(nl)	Décret de Thémistocle(it)	Decreto de Temístocles(es)	Themistokles-Dekret(de)	مرسوم ثيميستوكليس(ar)		
10	12474		édits										édit					edicten(nl)	edictos(es)	edicts(en)	Edikte(de)	editti(it)	منشورات(ar)		
11	12033			Edit d'Anastase				Édit d'Anastase										Edicto de Anastasio(es)	Edict of Anastasios(en)	Edict van Anastasios(nl)	Edikt des Justinian (Anastasios)(de)	Edit d'Anastase(it)	منشور أنستاز(ar)		
12	12034			Edit d'Asoka														Edicto de Ashoka(es)	Edict of Ashoka(en)	Edict van Asoka(nl)	Edikt des Asoka(de)	Edit d'Asoka(it)	منشور أسوكا(ar)		
13	12035			Edit d'Hadrien														Edicto de Adriano(es)	Edict of Hadrian(en)	Edict van Hadrianus(nl)	Edit d'Hadrien(it)	Hadriansedikt(de)	منشور هادريان(ar)		
14	12036			Edit de Dioclétien														Diokletiansedikt(de)	Edicto de Diocleciano(es)	Edict of Diocletian(en)	Edict van Diocletianus(nl)	Edit de Dioclétien(it)	منشور ديوكليتيانوس(ar)		
15	12467		lois										loi					Gesetzestexte(de)	law texts(en)	leggi(it)	leyes(es)	wetteksten(nl)	قوانين(ar)		
16	12204			Lex Julia				Lex Iulia										Leges Juliae(de)	Leges Juliae(en)	Lex Julia(es)	Lex Julia(it)	Lex Julia(nl)	قانون جوليا(ar)		
17	12205			Lex Numae														Lex Numae(de)	Lex Numae(en)	Lex Numae(es)	Lex Numae(it)	Lex Numae(nl)	قانون نوما(ar)		
18	12206			Lex Sacra														Lex Sacra(de)	Lex Sacra(en)	Lex Sacra(es)	Lex Sacra(it)	Lex Sacra(nl)	قانون ساكرا(ar)		
19	12232			Loi des Douze Tables				Loi des Douze tables	XII Tables									Law of the Twelve Tables(en)	Loi de las Doce Tablas(es)	Loi des Douze Tables(it)	Twaalftafelenwet(nl)	Zwölftafelgesetz(de)	اللوائح الإثنا عشر(ar)		
20	12230			Loi Gabinia-Calpurnia														Gabinian-Calpurnian Law(en)	Lex Gabinia-Calpurnia(de)	Lex Gabinia-Calpurnia(nl)	Ley Gabinia-Calpurnia(es)	Loi Gabinia-Calpurnia(it)	قانون غابينيا كالبورانيا(ar)		
21	12235			Lois de Gortyne				Gortyne-Loi	Loi de Gortyne									Große Gesetz von Gortyn(de)	Law Code of Gortyn(en)	Leyes de Gortina(es)	Lois de Gortyne(it)	Recht van Gortyn(nl)	قانون غورتين(ar)		
22	12424	textes religieux											histoire du texte	anthropologie religieuse				religieuze teksten(nl)	Religiöse Texte(de)	Religious texts(en)	Testi religiosi(it)	Textos religiosos(es)	نصوص دينية(ar)		
23	177922		Avesta					Zend Avesta					mazdéisme	zoroastrisme				Avesta(de)	Avesta(en)	Avesta(es)	Avesta(nl)	Avestā(it)		Ensemble des textes sacrés de la religion mazdéenne formant le livre sacré, code sacerdotal des zoroastriens. (D'après Wikipédia)	
24	11919		Bible										Bible de Bamberg	sources chrétiennes				Bibbia(it)	Bibel(de)	Bible(en)	Biblia(es)	Bijbel(nl)	إنجيل(ar)		
25	11857			Ancien Testament				Ancient Testament										Altes Testament(de)	Antico Testamento(it)	Antiguo Testamento(es)	Old Testament(en)	Oude Testament(nl)	العهد القديم(ar)		
26	12475				Ecrits			Écrits	Kéthoubim									Ecrits(it)	Escrituras(es)	Geschriften(nl)	Schriften(de)	Writings(en)	أسفار(ar)		
27	11939					Cantique des Cantiques		Bible     Cantique des Cantiques	Cantique des cantiques									Canticle of Canticles(en)	Cántico de los Cánticos(es)	Cantique des Cantiques(it)	Hohelied Salomons(de)	Hooglied van Salomon(nl)	سفر نشيد الأنشاد(ar)		
28	38523					Ecclésiaste		Qohelet										سفر الجامعة(ar)							
29	12213					Livre de Job		Bible     Job										Boek van Job(nl)	Book of Job(en)	Buch Hiob(de)	Libro de Job(es)	Livre de Job(it)	سفر أيوب(ar)		
30	12219					Livre de Ruth												Boek van Ruth(nl)	Book of Ruth(en)	Buch Rut(de)	Libro de Ruth(es)	Livre de Ruth(it)	سفر راعوث(ar)		
31	12361					Proverbes												Proverbes(it)	Proverbios(es)	Proverbs(en)	Spreuken(nl)	Sprüche(de)	سفر الحكمة(ar)		
32	12363					Psaumes												Psalmen(de)	Psalmen(nl)	Psalms(en)	Psaumes(it)	Salmos(es)	زبور(ar)		
33	12357				Livre des Prophètes			Livre des prophètes	Livres des prophètes									Books of the Prophets(en)	Libro de los Profetas(es)	Livre des Prophètes(it)	Profeten(nl)	Propheten(de)	أسفار الأنبياء(ar)		
34	12167					Lamentations												Klaagliederen(nl)	Klagelieder(de)	Lamentaciones(es)	Lamentations(en)	Lamentations(it)	مراثي(ar)		
35	12304					Petits Prophètes												Kleinen Propheten(de)	Kleine Profeten(nl)	Minor Prophets(en)	Pequeños Profetas(es)	Petits Prophètes(it)	أسفار الأنبياء الصغار(ar)		
36	12208						Livre d'Abdias											Boek Obadja(nl)	Book of Obadiah(en)	Buch Abdias(de)	Livre d'Abdias(es)	Livre d'Abdias(it)	سفر عبوديا(ar)		
37	12209						Livre d'Amos											Boek Amos(nl)	Book of Amos(en)	Buch Amos(de)	Livre d'Amos(es)	Livre d'Amos(it)	سفر عاموس(ar)		
38	12211						Livre d'Osée											Boek Hosea(nl)	Book of Hosea(en)	Buch Hosea(de)	Livre d'Osée(es)	Livre d'Osée(it)	سفر هوشع(ar)		
39	12216						Livre de Joël											Boek Joël(nl)	Book of Joel(en)	Buch Joel(de)	Livre de Joël(es)	Livre de Joël(it)	سفر يوئيل(ar)		
40	12214						Livre de Jonas											Boek Jona(nl)	Book of Jonah(en)	Buch Jona(de)	Livre de Jonas(es)	Livre de Jonas(it)	سفر يونان(ar)		
41	12358					Prophètes antérieurs												Former Prophets(en)	Gewezen Profeten(nl)	Profetas anteriores(es)	Prophètes antérieurs(it)	Vorderen Propheten(de)	أسفار الأنبياء الأوائل(ar)		
42	12215						Livre de Josué											Boek Jozua(nl)	Book of Joshua(en)	Buch Josua(de)	Livre de Josué(es)	Livre de Josué(it)	سفر يشوع(ar)		
43	12220						Livre de Samuel											Boek Samuel(nl)	Book of Samuel(en)	Buch Samuel(de)	Livre de Samuel(es)	Livre de Samuel(it)	سفر صموئيل(ar)		
44	12221						Livre des Juges	Bible     Juges										Boek van de Rechters(nl)	Book of Judges(en)	Buch der Richter(de)	Livre des Juges(es)	Livre des Juges(it)	سفر القُضاة(ar)		
45	12225						Livre des Rois	livre des rois										Boek van de Koningen(nl)	Book of Kings(en)	Buch der Könige(de)	Livre des Rois(es)	Livre des Rois(it)	سفر الملوك(ar)		
46	12359					Prophètes supérieurs												Großen Propheten(de)	Grote Profeten(nl)	Major Prophets(en)	Profetas superiores(es)	Prophètes supérieurs(it)	أسفار الأنبياء الأواخر(ar)		
47	12212						Livre d'Ezéchiel	Livre d'Ézéchiel					Ezéchiel					Boek Ezechiël(nl)	Book of Ezechiel(en)	Buch Ezechiel(de)	Livre d'Ezéchiel(es)	Livre d'Ezéchiel(it)	سفر حزقيال(ar)		
48	12210						Livre d'Isaïe											Boek Jesaja(nl)	Book of Isaiah(en)	Buch Jesaja(de)	Livre d'Isaïe(es)	Livre d'Isaïe(it)	سفر إشعيا(ar)		
49	27401						Livre de Daniel											Boek Daniël(nl)	Book of Daniel(en)	Buch Daniel(de)	Livre de Daniel(es)	Livre de Daniel(it)	سفر دانييل(ar)		
50	12217						Livre de Jérémie											Boek Jeremia(nl)	Book of Jeremiah(en)	Buch Jeremia(de)	Livre de Jérémie(es)	Livre de Jérémie(it)	سفر إرميا(ar)		
51	12299				Pentateuque			Loi	Torah									Pentateuch(de)	Pentateuch(en)	Pentateuch(nl)	Pentateuco(es)	Pentateuque(it)	التوراة(ar)		
52	12006					Deutéronome		Bible     Deutéronome										Deutéronome(es)	Deutéronome(it)	Deuteronomium(de)	Deuteronomium(nl)	Deuteronomy(en)	سفر التثنية(ar)		
53	12095					Exode		Bible Exode	Livre de l'Exode									Exode(es)	Exode(it)	Exodus(de)	Exodus(en)	Exodus(nl)	سفر الخروج(ar)		
