Id	idConcept	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	UF1	UF2	UF3	UF4	UF5	UF6	UF7	RT1	RT2	RT3	RT4	RT5	RT6	RT7	RT8	RT9	RT10	RT11	RT12	RT13	LANG1	LANG2	LANG3	LANG4	LANG5	LANG6	NOTE1	NOTE2	NOTE3	NOTE4	
1	13289	architecture																	architecte	histoire de l'art	travaux publics	urbanisme										architecture(en)	architectuur(nl)	Architektur(de)	architettura(it)	arquitectura(es)	عمارة(ar)	Art de construire les bâtiments (Lar.)			
2	13288		architectonique																science													architectonics(en)	Architektonik(de)	arquitectónico(es)	bouwkunde(nl)	regola architettonica(it)	فن العمارة(ar)	Ensemble des règles de l'architecture (Lar.)			
3	13290		architecture (conception)									architecture conception	réflexion architecturale																			architecture (conception)(en)	architectuur (ontwerp)(nl)	Architektur (Konzeption)(de)	architettura (concezione)(it)	arquitectura (concepción)(es)	(عمارة (مفهوم (ar)				
4	13295			architecture de terre								construction de terre	construction en terre						matériaux de construction													architettura in terra(it)	arquitectura en tierra(es)	leemarchitectuur(nl)	Lehmarchitektur(de)	mud architecture(en)	عمارة طينية(ar)	Notion à n'utiliser que pour une vue générale sur ce thème (BL)			
5	13296			architecture domestique																												architettura domestica(it)	arquitectura doméstica(es)	domestic architecture(en)	Hausarchitektur(de)	huisarchitectuur(nl)	عمارة مساكن(ar)	Architecture de bâtiment à usage individuel ou familial			
6	14990				habitat							bâtiment domestique	structure d'habitat						espace privé	occupation du sol	site archéologique											abitato(it)	hábitat(es)	settlement(en)	Siedlungswesen(de)	woonplaats(nl)	سكن(ar)	Lieu d'habitation construit.			
7	13474					auberge													bâtiment commercial													herberg(nl)	Herberge(de)	hostal(es)	inn(en)	locanda(it)	فندق صغير(ar)	Petit hôtel à la campagne, dans les petites villes ou les faubourg			
8	178532						mansio					mansiones							voie romaine													mansio(de)	mansio(en)	mansio(es)	mansio(it)	mansio(nl)		Une mansio est un gîte d’étape situé le long d’une voie romaine à l’époque de l'Empire romain. (WP le 13/11/18)			
9	155674						relais de poste												écurie																			Lieu où étaient tenus prêts des chevaux frais pour les cavaliers (et plus tard pour les voitures hippomobiles), afin de permettre une vitesse maximale à la communication par courrier. (Wikipédia)	A utiliser à partir de 1464 date de l'Edit de Luxies de Louis XI créant les relais de poste.  Pour une période antérieure notamment l'Empire romain, utiliser relais routier.		
10	16585						relais routier												voirie	cursus publicus	écurie											posta(es)	relais(nl)	Relaisstation(de)	stage(en)	stazione di posta(it)	مَربَط(ar)	Lieux où des chevaux frais sont postés pour remplacer les chevaux fatigués (Rob.)			
11	13689					cabane						case	hutte																			cabaña(es)	capanna(it)	hut(en)	hut(nl)	Hütte(de)	كوخ(ar)	Petite maison, le plus souvent en bois ; habitation médiocre, cahute. (Lar.)			
12	155747						cabane excavée																															Habitat semi-enterré constitué d'une fosse et dont le toit est supporté par une charpente	source : revue Archéologie médiévale		
13	14786						fond de cabane																									fondo de cabaña(es)	fondo di capanna(it)	hut circle(en)	hutfundering(nl)	Hüttengrundriß(de)	آثار كوخ(ar)	vestige d'une hutte préhistorique, reconnaissable, aujourd'hui, aux traces de construction, trous de poteaux, pierres de foyer, etc. (Lar.)			
14	13875					château						demeure seigneuriale	habitat seigneurial	logis seigneurial	maison seigneuriale				chapelle castrale	salle d'apparat												castello(it)	castillo(es)	castle(en)	kasteel(nl)	Schloss(de)	قصر(ar)	construction médiévale destinée à protéger le seigneur ainsi que la population du village attenant et à symboliser son autorité au sein du fief. Les premiers châteaux étaient construits en bois souvent sur une élévation de terre (motte castrale ou féodale), puis en pierre afin de résister aux nouvelles armes de guerre. On les appela les châteaux forts. (Lar.)			
15	155744						motte castrale																															Fortification de terre répandue au Moyen âge, considérée comme un château-fort primitif. La motte est un tronc de cône aux flancs pentus, dont l'inclinaison est globalement la même (30°) et dont la hauteur se situe entre 4 et 15 mètres. Elle est entourée d'un fossé, et son sommet était occupé par un fortin de bois (wikipedia)			
16	155803					cuisine (pièce)													cuisine (alimentation)													cocina(es)	cucina (stanza)(it)	keuken(nl)	kitchen(en)	Küche(de)		source : revue Archéologie médiévale	Pièce ou lieu réservé à la préparation et à la cuisson des aliments. Est le plus souvent intégrée au bâtiment d'habitation (BN)		
17	35608					glacière																										Eiskeller(de)	ghiacciaia(it)	icehouse(en)	ijskelder(nl)	مخزن ثلج(ar)					
18	14991					habitat de plein air						habitat en plein air	site de plein air																			abitato all'aperto(it)	Freilandsiedlung(de)	hábitat al aire libre(es)	nederzetting in de openlucht(nl)	open-air settlement(en)	سكن في الهواء الطلق(ar)	Espace construit situé en extérieur, par opposition à habitation en grotte			
19	155805					habitat dispersé													habitat rural													scattered settlement(en)						Un des deux types d'habitat humain en milieu rural, résultant généralement des activités agricoles et de la géographie. L'habitat est qualifié de dispersé quand la majeure partie de la population d'une zone donnée (terroir ou village) habite soit dans des hameaux soit dans des fermes isolées (Wikipédia)	source : revue Archéologie médiévale		
