URI;rdf:type;localURI;identifier;arkId;skos:prefLabel@de;skos:prefLabel@en;skos:prefLabel@ar;skos:prefLabel@es;skos:prefLabel@fr;skos:prefLabel@el;skos:prefLabel@he;skos:prefLabel@it;skos:prefLabel@nl;skos:prefLabel@ru;skos:altLabel@de;skos:altLabel@en;skos:altLabel@ar;skos:altLabel@es;skos:altLabel@fr;skos:altLabel@el;skos:altLabel@he;skos:altLabel@it;skos:altLabel@nl;skos:altLabel@ru;skos:hiddenLabel@de;skos:hiddenLabel@en;skos:hiddenLabel@ar;skos:hiddenLabel@es;skos:hiddenLabel@fr;skos:hiddenLabel@el;skos:hiddenLabel@he;skos:hiddenLabel@it;skos:hiddenLabel@nl;skos:hiddenLabel@ru;skos:definition@de;skos:definition@en;skos:definition@ar;skos:definition@es;skos:definition@fr;skos:definition@el;skos:definition@he;skos:definition@it;skos:definition@nl;skos:definition@ru;skos:scopeNote@de;skos:scopeNote@en;skos:scopeNote@ar;skos:scopeNote@es;skos:scopeNote@fr;skos:scopeNote@el;skos:scopeNote@he;skos:scopeNote@it;skos:scopeNote@nl;skos:scopeNote@ru;skos:note@de;skos:note@en;skos:note@ar;skos:note@es;skos:note@fr;skos:note@el;skos:note@he;skos:note@it;skos:note@nl;skos:note@ru;skos:historyNote@de;skos:historyNote@en;skos:historyNote@ar;skos:historyNote@es;skos:historyNote@fr;skos:historyNote@el;skos:historyNote@he;skos:historyNote@it;skos:historyNote@nl;skos:historyNote@ru;skos:editorialNote@de;skos:editorialNote@en;skos:editorialNote@ar;skos:editorialNote@es;skos:editorialNote@fr;skos:editorialNote@el;skos:editorialNote@he;skos:editorialNote@it;skos:editorialNote@nl;skos:editorialNote@ru;skos:changeNote@de;skos:changeNote@en;skos:changeNote@ar;skos:changeNote@es;skos:changeNote@fr;skos:changeNote@el;skos:changeNote@he;skos:changeNote@it;skos:changeNote@nl;skos:changeNote@ru;skos:example@de;skos:example@en;skos:example@ar;skos:example@es;skos:example@fr;skos:example@el;skos:example@he;skos:example@it;skos:example@nl;skos:example@ru;skos:notation;skos:narrower;narrowerId;skos:broader;broaderId;skos:related;relatedId;skos:exactMatch;skos:closeMatch;geo:lat;geo:long;geo:gps;skos:member;iso-thes:subGroup;iso-thes:superOrdinate;owl:deprecated;dcterms:isReplacedBy;foaf:Image;dcterms:source;dcterms:created;dcterms:modified
https://ark.frantiq.fr/ark:/26678/pcrtSPHlY88HRW;skos:Collection;;;;;Facet-Geometric extents;;;P2-ENTITÉS SPATIALES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;006;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtffeVX6Zg7Q##https://ark.frantiq.fr/ark:/26678/pcrtbXjVYtSuSo##https://ark.frantiq.fr/ark:/26678/pcrtLf3Bt5nKRt##https://ark.frantiq.fr/ark:/26678/pcrtXk6sdvTjnE##https://ark.frantiq.fr/ark:/26678/pcrtYDB9FPbodK##https://ark.frantiq.fr/ark:/26678/pcrtbKgipmUVv8##https://ark.frantiq.fr/ark:/26678/pcrtWJqx3qlw07##https://ark.frantiq.fr/ark:/26678/pcrtb2NDSMc7rW##https://ark.frantiq.fr/ark:/26678/pcrtshBq5ZfbdH##https://ark.frantiq.fr/ark:/26678/pcrtg00vcKiNAp##https://ark.frantiq.fr/ark:/26678/pcrt7VzGc5ZUum##https://ark.frantiq.fr/ark:/26678/pcrtbEZg8MjNuL##https://ark.frantiq.fr/ark:/26678/pcrtLnVNH2ynJc##https://ark.frantiq.fr/ark:/26678/pcrtDgIRdVSgfu##https://ark.frantiq.fr/ark:/26678/pcrtdZsvpNrnWI##https://ark.frantiq.fr/ark:/26678/pcrtxKnfzXYMxK##https://ark.frantiq.fr/ark:/26678/pcrtn3BBd5J1Kd##https://ark.frantiq.fr/ark:/26678/pcrtoST6EMSRYK##https://ark.frantiq.fr/ark:/26678/pcrtufGmq9oKDh##https://ark.frantiq.fr/ark:/26678/pcrtJ81akpZS9I##https://ark.frantiq.fr/ark:/26678/pcrtdakpjJaSz5##https://ark.frantiq.fr/ark:/26678/pcrtXhKSYgoqeP##https://ark.frantiq.fr/ark:/26678/pcrtUegarv7Qf3##https://ark.frantiq.fr/ark:/26678/pcrtFdK3klNna0##https://ark.frantiq.fr/ark:/26678/pcrtwKTbFaqJUY##https://ark.frantiq.fr/ark:/26678/pcrtNS4vm5u8xJ##https://ark.frantiq.fr/ark:/26678/pcrtZSukuWlnHA##https://ark.frantiq.fr/ark:/26678/pcrtGKF5TmR5AS##https://ark.frantiq.fr/ark:/26678/pcrteyHooFdq8e##https://ark.frantiq.fr/ark:/26678/pcrtWIKnzyfjSR##https://ark.frantiq.fr/ark:/26678/pcrtiMWSFc5fJ2##https://ark.frantiq.fr/ark:/26678/pcrtfx6Kz0jTNH##https://ark.frantiq.fr/ark:/26678/pcrtmsvDnRnsoA##https://ark.frantiq.fr/ark:/26678/pcrtj7UzwMo9cV##https://ark.frantiq.fr/ark:/26678/pcrtZ1NStSd183##https://ark.frantiq.fr/ark:/26678/pcrtuVBFofOdjD##https://ark.frantiq.fr/ark:/26678/pcrt28fUXAVb3Z##https://ark.frantiq.fr/ark:/26678/pcrtw9lK8RSghm##https://ark.frantiq.fr/ark:/26678/pcrt6ZeqlRj8Sc##https://ark.frantiq.fr/ark:/26678/pcrtvTgFG6oenl##https://ark.frantiq.fr/ark:/26678/pcrtXStwkP2FfD##https://ark.frantiq.fr/ark:/26678/pcrtRUlcBTKcz6##https://ark.frantiq.fr/ark:/26678/pcrtSVQn27vJz8##https://ark.frantiq.fr/ark:/26678/pcrtTxG9hMhZd7##https://ark.frantiq.fr/ark:/26678/pcrtDAGnvZa9az##https://ark.frantiq.fr/ark:/26678/pcrttDG0oSwLVJ##https://ark.frantiq.fr/ark:/26678/pcrtwblvfjuafa##https://ark.frantiq.fr/ark:/26678/pcrtzORYwll8NI##https://ark.frantiq.fr/ark:/26678/pcrtYdgGceSgwI##https://ark.frantiq.fr/ark:/26678/pcrtnK3n5OO1RS##https://ark.frantiq.fr/ark:/26678/pcrtTYhjuWkfmK##https://ark.frantiq.fr/ark:/26678/pcrtOOWRS56wSD##https://ark.frantiq.fr/ark:/26678/pcrtA2yuYDT6Az##https://ark.frantiq.fr/ark:/26678/pcrtVRGDeMZs50##https://ark.frantiq.fr/ark:/26678/pcrtXOgVOi2Rbt##https://ark.frantiq.fr/ark:/26678/pcrtxB7AK7LSTp##https://ark.frantiq.fr/ark:/26678/pcrtkilSDZLAlV##https://ark.frantiq.fr/ark:/26678/pcrt9PJh9aTXv4##https://ark.frantiq.fr/ark:/26678/pcrthQAINOX0GB##https://ark.frantiq.fr/ark:/26678/pcrtbnf4dSz1IR##https://ark.frantiq.fr/ark:/26678/pcrtSKvPhI0dHJ##https://ark.frantiq.fr/ark:/26678/pcrtUpINzuzVc6##https://ark.frantiq.fr/ark:/26678/pcrt0fEFHq0Qcm##https://ark.frantiq.fr/ark:/26678/pcrtYJe0Kp7hmm##https://ark.frantiq.fr/ark:/26678/pcrtzDfVNkD5St##https://ark.frantiq.fr/ark:/26678/pcrtySs2lWdI4z##https://ark.frantiq.fr/ark:/26678/pcrtakKD2YPOgU##https://ark.frantiq.fr/ark:/26678/crtdVpqD9Y6ym##https://ark.frantiq.fr/ark:/26678/crtYU7aVSbkgv##https://ark.frantiq.fr/ark:/26678/crtStmZEMOSSt##https://ark.frantiq.fr/ark:/26678/crtdAX11Eumew##https://ark.frantiq.fr/ark:/26678/crtBrJQLX2v5w##https://ark.frantiq.fr/ark:/26678/crtJ2hg7JLwf9##https://ark.frantiq.fr/ark:/26678/crtOmUoxSdjvD##https://ark.frantiq.fr/ark:/26678/pcrt8WIZYG4YAf##https://ark.frantiq.fr/ark:/26678/pcrtVhTRix41ic##https://ark.frantiq.fr/ark:/26678/pcrtSu7E2Qh0Xv##https://ark.frantiq.fr/ark:/26678/pcrt7XYoF5la6b##https://ark.frantiq.fr/ark:/26678/pcrt36pke8yWxW##https://ark.frantiq.fr/ark:/26678/pcrtYEBzGKTPit##https://ark.frantiq.fr/ark:/26678/pcrtKYUiLbGDYc##https://ark.frantiq.fr/ark:/26678/pcrtD9ainKPnan##https://ark.frantiq.fr/ark:/26678/pcrtcSwGKi6BiS##https://ark.frantiq.fr/ark:/26678/pcrtMyNWcemJmF##https://ark.frantiq.fr/ark:/26678/crtDBkg0LDMOw##https://ark.frantiq.fr/ark:/26678/crtIA4X1WduhJ##https://ark.frantiq.fr/ark:/26678/crtplbM5GJdJi##https://ark.frantiq.fr/ark:/26678/pcrtwgs4iTyrnS##https://ark.frantiq.fr/ark:/26678/pcrtqOnvbkSUvu##https://ark.frantiq.fr/ark:/26678/pcrtYhDNuZnkql##https://ark.frantiq.fr/ark:/26678/pcrtalh7hthddu##https://ark.frantiq.fr/ark:/26678/pcrt62rcqt2bt8##https://ark.frantiq.fr/ark:/26678/pcrtdwqtqwm39m##https://ark.frantiq.fr/ark:/26678/pcrtx8jkmjkjtt##https://ark.frantiq.fr/ark:/26678/pcrt5scrzxmbxqs6t6g41hs0##https://ark.frantiq.fr/ark:/26678/pcrtvcqtdq6w0dsv6xpmj4p0##https://ark.frantiq.fr/ark:/26678/pcrtbfzb76cm2h##https://ark.frantiq.fr/ark:/26678/pcrt0gq00h03p7##https://ark.frantiq.fr/ark:/26678/pcrtpszcnzfmtw##https://ark.frantiq.fr/ark:/26678/pcrt53c8nwnt0w##https://ark.frantiq.fr/ark:/26678/pcrt15tbzh4mdg##https://ark.frantiq.fr/ark:/26678/pcrthn12q6f676##https://ark.frantiq.fr/ark:/26678/pcrtp5s49qh1sw##https://ark.frantiq.fr/ark:/26678/pcrt97tc95td23##https://ark.frantiq.fr/ark:/26678/pcrt7nHkxJNLlf##https://ark.frantiq.fr/ark:/26678/pcrtSEg0ZTFHts##https://ark.frantiq.fr/ark:/26678/pcrt9Y2UzXnNSo##https://ark.frantiq.fr/ark:/26678/pcrtmDglThUK8S##https://ark.frantiq.fr/ark:/26678/pcrtYqQiDynWG8##https://ark.frantiq.fr/ark:/26678/pcrtfq7pAveOGy##https://ark.frantiq.fr/ark:/26678/pcrtSP0dQbsIZo##https://ark.frantiq.fr/ark:/26678/pcrt8MsNkDug7N##https://ark.frantiq.fr/ark:/26678/pcrtf78wjnmgmw##https://ark.frantiq.fr/ark:/26678/pcrtvqmkztf2nw##https://ark.frantiq.fr/ark:/26678/pcrtn51gdb3v2g##https://ark.frantiq.fr/ark:/26678/pcrt54xtwv08kxp2fhzwq301##https://ark.frantiq.fr/ark:/26678/pcrthj6qc6ph1nb2qw23sn4v##https://ark.frantiq.fr/ark:/26678/pcrtptwjv3f3qxfqpfbqn93g##https://ark.frantiq.fr/ark:/26678/pcrt7504xbzp65tt5j6rgrs0##https://ark.frantiq.fr/ark:/26678/pcrt517m70vp21r5cx5vvwn2##https://ark.frantiq.fr/ark:/26678/pcrtr3bjv9htvnzk619ms301##https://ark.frantiq.fr/ark:/26678/pcrtzh7vmk5m37chhw6hfw4d##https://ark.frantiq.fr/ark:/26678/pcrtEwjsmrOnQ5##https://ark.frantiq.fr/ark:/26678/pcrtne5NFkA4Ut##https://ark.frantiq.fr/ark:/26678/pcrtTmsmdUBp2S##https://ark.frantiq.fr/ark:/26678/pcrtV7JugxY82K##https://ark.frantiq.fr/ark:/26678/pcrtiYKzs1SSH4##https://ark.frantiq.fr/ark:/26678/pcrt25t8l4D2DF##https://ark.frantiq.fr/ark:/26678/pcrtXQ5ePy9ByB##https://ark.frantiq.fr/ark:/26678/pcrtvvmzLhYF0y##https://ark.frantiq.fr/ark:/26678/pcrt7ao5PbNGOh##https://ark.frantiq.fr/ark:/26678/pcrtJy8b2LZi5j##https://ark.frantiq.fr/ark:/26678/pcrtdreB1dmB38##https://ark.frantiq.fr/ark:/26678/pcrt7ckwj5gbes##https://ark.frantiq.fr/ark:/26678/pcrtoeb7huexQ8##https://ark.frantiq.fr/ark:/26678/pcrtaFj1v9o0k0##https://ark.frantiq.fr/ark:/26678/pcrtaZaXJ8EF35;;;false;;;;;
https://ark.frantiq.fr/ark:/26678/pcrtffeVX6Zg7Q;skos:Concept;https://pactols.frantiq.fr:443/opentheso/?idc=13438&idt=TH_1;13438;26678/pcrtffeVX6Zg7Q;Stern;celestial body;نجم;astro;astre;;;astro;hemellichaam;;;astronomical body##heavenly body;;cuerpo celeste;;;;corpo celeste;;;;;;;;;;;;;;Any natural stellar object (Lar.);;;Tout corps céleste naturel (Lar.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtbXjVYtSuSo##https://ark.frantiq.fr/ark:/26678/pcrtbKgipmUVv8##https://ark.frantiq.fr/ark:/26678/pcrtZSukuWlnHA##https://ark.frantiq.fr/ark:/26678/pcrtRUlcBTKcz6##https://ark.frantiq.fr/ark:/26678/pcrtbnf4dSz1IR;13439##14016##15507##16281##16977;https://ark.frantiq.fr/ark:/26678/pcrt62rcqt2bt8;253860;https://ark.frantiq.fr/ark:/26678/pcrte7xScqakAZ;17014;https://www.wikidata.org/wiki/Q3317915;;;;;https://ark.frantiq.fr/ark:/26678/pcrtSPHlY88HRW##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;;;false;;;;2007-02-08;2024-05-03
https://ark.frantiq.fr/ark:/26678/pcrtbXjVYtSuSo;skos:Concept;https://pactols.frantiq.fr:443/opentheso/?idc=13439&idt=TH_1;13439;26678/pcrtbXjVYtSuSo;Fixstern;fixed star;نجم ثابت;astro fijo;astre fixe;;;astro fisso;vaste ster;;;;;;;;;;;;;;;;;;;;;;;Term used to describe stars that seemed to be fixed to the vault of heaven.;;;Terme qui désignait les astres qui semblaient fixés à la voûte céleste.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtffeVX6Zg7Q;13438;;;https://www.wikidata.org/wiki/Q430297;;;;;https://ark.frantiq.fr/ark:/26678/pcrtSPHlY88HRW##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;;;false;;;;2007-02-08;2023-08-02
https://ark.frantiq.fr/ark:/26678/pcrtLf3Bt5nKRt;skos:Concept;https://pactols.frantiq.fr:443/opentheso/?idc=13717&idt=TH_1;13717;26678/pcrtLf3Bt5nKRt;Land;countryside;وسط ريفي;medio rural;milieu rural;;;campagna;platteland;;ländlicher Raum;rural area##rural environment##rural setting;;;campagne##espace rural##milieu campagnard##monde rural;;;mondo rurale;;;;;;;;;;;;;;;;;Ensemble des espaces cultivés habités. Il est caractérisé par une faible densité par rapport aux pôles urbains environnants, par un paysage à dominante végétale (champs, prairies, forêts et autres espaces naturels ou semi-naturels), par une activité agricole dominante. (Wikipédia);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/crtIA4X1WduhJ;246238;https://ark.frantiq.fr/ark:/26678/pcrt62rcqt2bt8;253860;https://ark.frantiq.fr/ark:/26678/pcrtuDGmtyntVb##https://ark.frantiq.fr/ark:/26678/pcrtav4GgUBmvU##https://ark.frantiq.fr/ark:/26678/pcrtSHlGZ8oJyA##https://ark.frantiq.fr/ark:/26678/pcrtJBpSsfiAq9##https://ark.frantiq.fr/ark:/26678/pcrtVnWeKqGpcj##https://ark.frantiq.fr/ark:/26678/crtd8lWp7KxUs;13130##16719##16862##17527##20871##246239;https://www.wikidata.org/wiki/Q175185##http://vocab.getty.edu/aat/300229355;;;;;https://ark.frantiq.fr/ark:/26678/pcrtSPHlY88HRW##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;;;false;;;;2007-02-08;2023-08-02
https://ark.frantiq.fr/ark:/26678/pcrtXk6sdvTjnE;skos:Concept;https://pactols.frantiq.fr:443/opentheso/?idc=13755&idt=TH_1;13755;26678/pcrtXk6sdvTjnE;Steinbruch;quarry;مقلع حجارة;cantera;carrière (géologie);;;cava;steenhouwerij;;;mining operation##open pit mining##stone quarry;;explotación minera##yacimiento;atelier d'extraction##carrière de pierre;;;giacimento;;;;;;;;;;;;;;;;;Endroit où l'on exploite des produits minéraux non métalliques ni carbonifères (Lar.).;;;;;;;;;;;;;;;;;;;;Pour la période préhistorique, privilégier le terme  atelier de taille .  Réserver  carrière (géologie)  pour l'antiquité et les périodes ultérieures. Pour l'homonyme voir     fonctionnaire et carrière;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtJ81akpZS9I##https://ark.frantiq.fr/ark:/26678/pcrtwKTbFaqJUY##https://ark.frantiq.fr/ark:/26678/pcrtaFj1v9o0k0;150508##15425##36986;https://ark.frantiq.fr/ark:/26678/pcrtSu7E2Qh0Xv;21375;https://ark.frantiq.fr/ark:/26678/pcrts8SiTTY3Ka##https://ark.frantiq.fr/ark:/26678/pcrt9WrayiIQys##https://ark.frantiq.fr/ark:/26678/pcrtR1s94Zuaul##https://ark.frantiq.fr/ark:/26678/pcrtSkipOsBGML##https://ark.frantiq.fr/ark:/26678/pcrtbNJR98Fv1A##https://ark.frantiq.fr/ark:/26678/pcrtoPowqxFzs7##https://ark.frantiq.fr/ark:/26678/pcrtdP8WBHGn9S;13093##13457##14936##15577##17212##17245##27510;https://www.wikidata.org/wiki/Q188040##http://vocab.getty.edu/aat/300000402;;;;;https://ark.frantiq.fr/ark:/26678/pcrtSPHlY88HRW##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj##https://ark.frantiq.fr/ark:/26678/pcrtv0jq332vcq3gxt5m13d5;;;false;;;;2007-02-08;2024-03-15
https://ark.frantiq.fr/ark:/26678/pcrtYDB9FPbodK;skos:Concept;https://pactols.frantiq.fr:443/opentheso/?idc=13961&idt=TH_1;13961;26678/pcrtYDB9FPbodK;Hügel;hill;هضبة;colina;colline;;;collina;heuvel;;;hillside;;cerro;;;;colle;;;;;;;;;;;;;;;;;Relief généralement modéré et relativement peu étendu. (wikipedia);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtx8jkmjkjtt;264720;https://ark.frantiq.fr/ark:/26678/pcrt6UZ1B610j3;13892;https://www.wikidata.org/wiki/Q54050##http://vocab.getty.edu/aat/300008777;;;;;https://ark.frantiq.fr/ark:/26678/pcrtSPHlY88HRW##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;;;false;;;;2007-02-08;2023-08-02
https://ark.frantiq.fr/ark:/26678/pcrtbKgipmUVv8;skos:Concept;https://pactols.frantiq.fr:443/opentheso/?idc=14016&idt=TH_1;14016;26678/pcrtbKgipmUVv8;Komet;comet;مُذَنّب;cometa;comète;;;cometa;komeet;;;;;;;;;;;;;;;;;;;;;;;Solar system star with a diffuse appearance, observable close to the Sun (Lar.);;;Astre du système solaire d'aspect diffus, observable à proximité du soleil (Lar.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtffeVX6Zg7Q;13438;;;https://catalogue.bnf.fr/ark:/12148/cb11931717c##https://www.wikidata.org/wiki/Q3559##http://vocab.getty.edu/aat/300266158;;;;;https://ark.frantiq.fr/ark:/26678/pcrtSPHlY88HRW##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;;;false;;;;2007-02-08;2023-08-02
https://ark.frantiq.fr/ark:/26678/pcrtWJqx3qlw07;skos:Concept;https://pactols.frantiq.fr:443/opentheso/?idc=14143&idt=TH_1;14143;26678/pcrtWJqx3qlw07;Wasserlauf;watercourse;مجرى مياه;curso de agua;cours d'eau;;;corso d'acqua;waterloop;;;waterway;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrt7VzGc5ZUum##https://ark.frantiq.fr/ark:/26678/pcrtoST6EMSRYK##https://ark.frantiq.fr/ark:/26678/pcrttDG0oSwLVJ##https://ark.frantiq.fr/ark:/26678/pcrtSP0dQbsIZo##https://ark.frantiq.fr/ark:/26678/pcrt7504xbzp65tt5j6rgrs0##https://ark.frantiq.fr/ark:/26678/pcrtiYKzs1SSH4##https://ark.frantiq.fr/ark:/26678/pcrt7ckwj5gbes;14766##150112##16685##35180##354409##36482##36538;https://ark.frantiq.fr/ark:/26678/pcrtdwqtqwm39m;253961;https://ark.frantiq.fr/ark:/26678/pcrtzh7vmk5m37chhw6hfw4d;354572;https://catalogue.bnf.fr/ark:/12148/cb11952208p##https://www.wikidata.org/wiki/Q355304##http://vocab.getty.edu/aat/300387091;;;;;https://ark.frantiq.fr/ark:/26678/pcrtSPHlY88HRW##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;;;false;;;;2007-02-08;2023-08-02
https://ark.frantiq.fr/ark:/26678/pcrtb2NDSMc7rW;skos:Concept;https://pactols.frantiq.fr:443/opentheso/?idc=14338&idt=TH_1;14338;26678/pcrtb2NDSMc7rW;Delta;delta;دلتا;delta;delta;;;delta;delta;;;;;;;;;;;;;;;;;;;;;;;;;;Type d'embouchure d'un cours d'eau.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtx8jkmjkjtt;264720;https://ark.frantiq.fr/ark:/26678/pcrt7VzGc5ZUum##https://ark.frantiq.fr/ark:/26678/pcrt7ckwj5gbes;14766##36538;https://catalogue.bnf.fr/ark:/12148/cb119506832##https://www.wikidata.org/wiki/Q43197##http://vocab.getty.edu/aat/300008760;;;;;https://ark.frantiq.fr/ark:/26678/pcrtSPHlY88HRW##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;;;false;;;;2007-02-08;2023-08-02
https://ark.frantiq.fr/ark:/26678/pcrtshBq5ZfbdH;skos:Concept;https://pactols.frantiq.fr:443/opentheso/?idc=14566&idt=TH_1;14566;26678/pcrtshBq5ZfbdH;Wüste;desert;صحراء;desierto;désert;;;deserto;woestijn;;;;;;;;;;;;;;;;;;;;;;;Area of land where rainfall is rare and scarce, and where, as a result, living conditions are hostile for plants and animals (from the Wikipedia french article  Désert ).;;;Zone de terre où les précipitations sont rares et peu abondantes, et où, par conséquent, les conditions de vie sont hostiles pour les plantes et pour les animaux. (d'après l'article  Désert  en français de Wikipédia);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrt6ZeqlRj8Sc##https://ark.frantiq.fr/ark:/26678/pcrtfq7pAveOGy;15938##28389;https://ark.frantiq.fr/ark:/26678/crtOmUoxSdjvD;178534;https://ark.frantiq.fr/ark:/26678/pcrtAKMg1dqQYI;27416;https://catalogue.bnf.fr/ark:/12148/cb11931318m##https://www.wikidata.org/wiki/Q8514##http://vocab.getty.edu/aat/300008916;;;;;https://ark.frantiq.fr/ark:/26678/pcrtSPHlY88HRW##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;;;false;;;;2007-02-08;2024-05-03
