URI;rdf:type;localURI;identifier;arkId;skos:prefLabel@de;skos:prefLabel@en;skos:prefLabel@ar;skos:prefLabel@es;skos:prefLabel@fr;skos:prefLabel@el;skos:prefLabel@he;skos:prefLabel@it;skos:prefLabel@nl;skos:prefLabel@ru;skos:altLabel@de;skos:altLabel@en;skos:altLabel@ar;skos:altLabel@es;skos:altLabel@fr;skos:altLabel@el;skos:altLabel@he;skos:altLabel@it;skos:altLabel@nl;skos:altLabel@ru;skos:hiddenLabel@de;skos:hiddenLabel@en;skos:hiddenLabel@ar;skos:hiddenLabel@es;skos:hiddenLabel@fr;skos:hiddenLabel@el;skos:hiddenLabel@he;skos:hiddenLabel@it;skos:hiddenLabel@nl;skos:hiddenLabel@ru;skos:definition@de;skos:definition@en;skos:definition@ar;skos:definition@es;skos:definition@fr;skos:definition@el;skos:definition@he;skos:definition@it;skos:definition@nl;skos:definition@ru;skos:scopeNote@de;skos:scopeNote@en;skos:scopeNote@ar;skos:scopeNote@es;skos:scopeNote@fr;skos:scopeNote@el;skos:scopeNote@he;skos:scopeNote@it;skos:scopeNote@nl;skos:scopeNote@ru;skos:note@de;skos:note@en;skos:note@ar;skos:note@es;skos:note@fr;skos:note@el;skos:note@he;skos:note@it;skos:note@nl;skos:note@ru;skos:historyNote@de;skos:historyNote@en;skos:historyNote@ar;skos:historyNote@es;skos:historyNote@fr;skos:historyNote@el;skos:historyNote@he;skos:historyNote@it;skos:historyNote@nl;skos:historyNote@ru;skos:editorialNote@de;skos:editorialNote@en;skos:editorialNote@ar;skos:editorialNote@es;skos:editorialNote@fr;skos:editorialNote@el;skos:editorialNote@he;skos:editorialNote@it;skos:editorialNote@nl;skos:editorialNote@ru;skos:changeNote@de;skos:changeNote@en;skos:changeNote@ar;skos:changeNote@es;skos:changeNote@fr;skos:changeNote@el;skos:changeNote@he;skos:changeNote@it;skos:changeNote@nl;skos:changeNote@ru;skos:example@de;skos:example@en;skos:example@ar;skos:example@es;skos:example@fr;skos:example@el;skos:example@he;skos:example@it;skos:example@nl;skos:example@ru;skos:notation;skos:narrower;narrowerId;skos:broader;broaderId;skos:related;relatedId;skos:exactMatch;skos:closeMatch;geo:lat;geo:long;geo:gps;skos:member;memberId;iso-thes:subGroup;iso-thes:superOrdinate;owl:deprecated;dcterms:isReplacedBy;foaf:Image;dcterms:source;dcterms:created;dcterms:modified
https://ark.frantiq.fr/ark:/26678/pcrtrxnswx9qw6;skos:Collection;;;;;Facet : Geopolitical units;;;P2-UNITÉS GÉOPOLITIQUES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;012;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtaRcMOBwKh6##https://ark.frantiq.fr/ark:/26678/pcrtUvvjpjtj9o##https://ark.frantiq.fr/ark:/26678/pcrtpHO0HJvq4L##https://ark.frantiq.fr/ark:/26678/pcrtPovaRstBwl##https://ark.frantiq.fr/ark:/26678/pcrtk6D8S79lNB##https://ark.frantiq.fr/ark:/26678/pcrtkDBYonQEuW##https://ark.frantiq.fr/ark:/26678/pcrtUk9cBWYKa9##https://ark.frantiq.fr/ark:/26678/pcrtvzl3HUp31m##https://ark.frantiq.fr/ark:/26678/pcrtMn0hDa1ISK##https://ark.frantiq.fr/ark:/26678/pcrtqVg5EE8ryz##https://ark.frantiq.fr/ark:/26678/pcrtth6SX6dqLT##https://ark.frantiq.fr/ark:/26678/pcrtzlGXXDRsSE##https://ark.frantiq.fr/ark:/26678/pcrtGRDLz9rL2B##https://ark.frantiq.fr/ark:/26678/pcrtoiSmw7kmXQ##https://ark.frantiq.fr/ark:/26678/pcrtWMS5ewTzUz##https://ark.frantiq.fr/ark:/26678/pcrt2oMB8vv3no##https://ark.frantiq.fr/ark:/26678/pcrtkecpbIZuY1##https://ark.frantiq.fr/ark:/26678/pcrtrL4SWSFZ0n##https://ark.frantiq.fr/ark:/26678/pcrtfLiLVtbp37##https://ark.frantiq.fr/ark:/26678/pcrthI4tPzvLVQ##https://ark.frantiq.fr/ark:/26678/pcrt1gL0hsgQTY##https://ark.frantiq.fr/ark:/26678/pcrt83M3AddL5O##https://ark.frantiq.fr/ark:/26678/pcrtSkt1eRlMG2##https://ark.frantiq.fr/ark:/26678/pcrtT4PswKkyZW##https://ark.frantiq.fr/ark:/26678/pcrtVHSiUuDQVO##https://ark.frantiq.fr/ark:/26678/pcrtysxPseQ69v##https://ark.frantiq.fr/ark:/26678/pcrt0pUgEWWGGP##https://ark.frantiq.fr/ark:/26678/pcrtzUrcJxD2ow##https://ark.frantiq.fr/ark:/26678/pcrtubR71b0HKL##https://ark.frantiq.fr/ark:/26678/pcrtI6kvbZ3mIr##https://ark.frantiq.fr/ark:/26678/pcrtY2vzuB7lBm##https://ark.frantiq.fr/ark:/26678/pcrtS1LzpAWeT2##https://ark.frantiq.fr/ark:/26678/pcrtzTPFYJSae5##https://ark.frantiq.fr/ark:/26678/pcrt43M8H7iWXV##https://ark.frantiq.fr/ark:/26678/pcrtqZmoA2lkNx##https://ark.frantiq.fr/ark:/26678/pcrt8L7jhVhIn5##https://ark.frantiq.fr/ark:/26678/pcrtIy0GVAU6zI##https://ark.frantiq.fr/ark:/26678/pcrtzuzR7iTq5A##https://ark.frantiq.fr/ark:/26678/pcrtqh0Gw1ujrr##https://ark.frantiq.fr/ark:/26678/pcrtTEsi8UMa3R##https://ark.frantiq.fr/ark:/26678/pcrtykoEqGY5VZ##https://ark.frantiq.fr/ark:/26678/pcrtIMLF0zrBUu##https://ark.frantiq.fr/ark:/26678/pcrtdfzPa8ViuL##https://ark.frantiq.fr/ark:/26678/pcrtegLJO1lMLf##https://ark.frantiq.fr/ark:/26678/pcrtQNRRYhNKP5##https://ark.frantiq.fr/ark:/26678/pcrtMxv4H96TuW##https://ark.frantiq.fr/ark:/26678/crtwzOa2orNiH##https://ark.frantiq.fr/ark:/26678/crtT6U9i2DKKe##https://ark.frantiq.fr/ark:/26678/crtnXTBqmGb2A##https://ark.frantiq.fr/ark:/26678/crtrnI4OBYMLK##https://ark.frantiq.fr/ark:/26678/crt4O4PAy5w3O##https://ark.frantiq.fr/ark:/26678/crtI9RyKgGH53##https://ark.frantiq.fr/ark:/26678/pcrtD7US79TXje##https://ark.frantiq.fr/ark:/26678/crt62kRiS7fUE##https://ark.frantiq.fr/ark:/26678/pcrtQe5VAFa1Is##https://ark.frantiq.fr/ark:/26678/pcrtGrTrckrNHZ##https://ark.frantiq.fr/ark:/26678/pcrt5g258z4mhg##https://ark.frantiq.fr/ark:/26678/pcrtTiTtJfS2XB##https://ark.frantiq.fr/ark:/26678/pcrtgpav0y2xnw##https://ark.frantiq.fr/ark:/26678/pcrtptd3js38vr25xdjdbdh9##https://ark.frantiq.fr/ark:/26678/pcrthzskghpjzxszcm1xxk6f##https://ark.frantiq.fr/ark:/26678/pcrtTzsUdF1uUT##https://ark.frantiq.fr/ark:/26678/pcrtAZMNub2Yp3##https://ark.frantiq.fr/ark:/26678/pcrttw1Rh499Mh##https://ark.frantiq.fr/ark:/26678/pcrt0qW4s9SGWg##https://ark.frantiq.fr/ark:/26678/pcrtiL6Vr7bLzg##https://ark.frantiq.fr/ark:/26678/pcrtB0uW42NTai;13028##13124##13804##13898##13899##13901##13902##13905##13937##13968##13969##13970##13971##13972##13973##14092##14389##14430##14444##14575##14582##14757##14838##14904##15453##155664##15787##15861##15900##16063##16114##16122##16436##16440##16441##16465##16472##16751##16757##17264##17265##17272##17279##17396##17515##17676##178193##178198##178303##178427##178525##178527##20890##246229##246311##246690##253382##27428##27639##354725##354793##35820##36474##37042##9471##9523##9524;;;false;;;;;
https://pactols.frantiq.fr/?idf=F221&idt=TH_1;skos-thes:ThesaurusArray;;F221;;;;;;divisions ecclésiastiques;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtS1LzpAWeT2##https://ark.frantiq.fr/ark:/26678/crtI9RyKgGH53##https://ark.frantiq.fr/ark:/26678/pcrtTiTtJfS2XB;16122##178527##27428;;https://ark.frantiq.fr/ark:/26678/pcrtGrTrckrNHZ;false;;;;2022-02-11 16:11:47.045237+01;2022-02-11 16:11:47.045237+01
https://pactols.frantiq.fr/?idf=F599&idt=TH_1;skos-thes:ThesaurusArray;;F599;;;;;;unités territoriales administratives;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtpHO0HJvq4L##https://ark.frantiq.fr/ark:/26678/pcrtvzl3HUp31m##https://ark.frantiq.fr/ark:/26678/pcrtqVg5EE8ryz##https://ark.frantiq.fr/ark:/26678/pcrt2oMB8vv3no##https://ark.frantiq.fr/ark:/26678/pcrtrL4SWSFZ0n##https://ark.frantiq.fr/ark:/26678/pcrthI4tPzvLVQ##https://ark.frantiq.fr/ark:/26678/pcrt83M3AddL5O##https://ark.frantiq.fr/ark:/26678/pcrtVHSiUuDQVO##https://ark.frantiq.fr/ark:/26678/pcrt0pUgEWWGGP##https://ark.frantiq.fr/ark:/26678/pcrtzUrcJxD2ow##https://ark.frantiq.fr/ark:/26678/pcrtubR71b0HKL##https://ark.frantiq.fr/ark:/26678/pcrtI6kvbZ3mIr##https://ark.frantiq.fr/ark:/26678/pcrtY2vzuB7lBm##https://ark.frantiq.fr/ark:/26678/pcrtIy0GVAU6zI##https://ark.frantiq.fr/ark:/26678/pcrtzuzR7iTq5A##https://ark.frantiq.fr/ark:/26678/pcrtTEsi8UMa3R##https://ark.frantiq.fr/ark:/26678/pcrtQNRRYhNKP5##https://ark.frantiq.fr/ark:/26678/crtwzOa2orNiH##https://ark.frantiq.fr/ark:/26678/crtT6U9i2DKKe##https://ark.frantiq.fr/ark:/26678/pcrtD7US79TXje##https://ark.frantiq.fr/ark:/26678/pcrtQe5VAFa1Is##https://ark.frantiq.fr/ark:/26678/pcrthzskghpjzxszcm1xxk6f##https://ark.frantiq.fr/ark:/26678/pcrttw1Rh499Mh;13804##13905##13968##14092##14430##14575##14757##15453##15787##15861##15900##16063##16114##16472##16751##17264##17515##178193##178198##20890##246311##354793##37042;;https://ark.frantiq.fr/ark:/26678/pcrtGrTrckrNHZ;false;;;;2022-09-13 14:25:40.709835+02;2022-09-13 14:25:40.709835+02
https://pactols.frantiq.fr/?idf=F601&idt=TH_1;skos-thes:ThesaurusArray;;F601;;;;;;unités territoriales politiques;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtaRcMOBwKh6##https://ark.frantiq.fr/ark:/26678/pcrtpHO0HJvq4L##https://ark.frantiq.fr/ark:/26678/pcrtqVg5EE8ryz##https://ark.frantiq.fr/ark:/26678/pcrt1gL0hsgQTY##https://ark.frantiq.fr/ark:/26678/pcrtqh0Gw1ujrr##https://ark.frantiq.fr/ark:/26678/pcrtdfzPa8ViuL##https://ark.frantiq.fr/ark:/26678/crtnXTBqmGb2A##https://ark.frantiq.fr/ark:/26678/crtrnI4OBYMLK##https://ark.frantiq.fr/ark:/26678/crt62kRiS7fUE##https://ark.frantiq.fr/ark:/26678/pcrtgpav0y2xnw##https://ark.frantiq.fr/ark:/26678/pcrtTzsUdF1uUT;13028##13804##13968##14582##16757##17279##178303##178427##246229##27639##35820;;https://ark.frantiq.fr/ark:/26678/pcrtGrTrckrNHZ;false;;;;2022-09-13 14:25:53.57784+02;2022-09-13 14:25:53.57784+02
https://pactols.frantiq.fr/?idf=F221&idt=TH_1;skos-thes:ThesaurusArray;;F221;;;ecclesiastical divisions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtS1LzpAWeT2##https://ark.frantiq.fr/ark:/26678/crtI9RyKgGH53##https://ark.frantiq.fr/ark:/26678/pcrtTiTtJfS2XB;16122##178527##27428;;https://ark.frantiq.fr/ark:/26678/pcrtGrTrckrNHZ;false;;;;2022-09-19 20:30:24.452599+02;2022-09-19 20:30:24.452599+02
https://pactols.frantiq.fr/?idf=F599&idt=TH_1;skos-thes:ThesaurusArray;;F599;;;administrative territorial units;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtpHO0HJvq4L##https://ark.frantiq.fr/ark:/26678/pcrtvzl3HUp31m##https://ark.frantiq.fr/ark:/26678/pcrtqVg5EE8ryz##https://ark.frantiq.fr/ark:/26678/pcrt2oMB8vv3no##https://ark.frantiq.fr/ark:/26678/pcrtrL4SWSFZ0n##https://ark.frantiq.fr/ark:/26678/pcrthI4tPzvLVQ##https://ark.frantiq.fr/ark:/26678/pcrt83M3AddL5O##https://ark.frantiq.fr/ark:/26678/pcrtVHSiUuDQVO##https://ark.frantiq.fr/ark:/26678/pcrt0pUgEWWGGP##https://ark.frantiq.fr/ark:/26678/pcrtzUrcJxD2ow##https://ark.frantiq.fr/ark:/26678/pcrtubR71b0HKL##https://ark.frantiq.fr/ark:/26678/pcrtI6kvbZ3mIr##https://ark.frantiq.fr/ark:/26678/pcrtY2vzuB7lBm##https://ark.frantiq.fr/ark:/26678/pcrtIy0GVAU6zI##https://ark.frantiq.fr/ark:/26678/pcrtzuzR7iTq5A##https://ark.frantiq.fr/ark:/26678/pcrtTEsi8UMa3R##https://ark.frantiq.fr/ark:/26678/pcrtQNRRYhNKP5##https://ark.frantiq.fr/ark:/26678/crtwzOa2orNiH##https://ark.frantiq.fr/ark:/26678/crtT6U9i2DKKe##https://ark.frantiq.fr/ark:/26678/pcrtD7US79TXje##https://ark.frantiq.fr/ark:/26678/pcrtQe5VAFa1Is##https://ark.frantiq.fr/ark:/26678/pcrthzskghpjzxszcm1xxk6f##https://ark.frantiq.fr/ark:/26678/pcrttw1Rh499Mh;13804##13905##13968##14092##14430##14575##14757##15453##15787##15861##15900##16063##16114##16472##16751##17264##17515##178193##178198##20890##246311##354793##37042;;https://ark.frantiq.fr/ark:/26678/pcrtGrTrckrNHZ;false;;;;2022-09-19 20:30:36.787724+02;2022-09-19 20:30:36.787724+02
https://pactols.frantiq.fr/?idf=F601&idt=TH_1;skos-thes:ThesaurusArray;;F601;;;political territorial units;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtaRcMOBwKh6##https://ark.frantiq.fr/ark:/26678/pcrtpHO0HJvq4L##https://ark.frantiq.fr/ark:/26678/pcrtqVg5EE8ryz##https://ark.frantiq.fr/ark:/26678/pcrt1gL0hsgQTY##https://ark.frantiq.fr/ark:/26678/pcrtqh0Gw1ujrr##https://ark.frantiq.fr/ark:/26678/pcrtdfzPa8ViuL##https://ark.frantiq.fr/ark:/26678/crtnXTBqmGb2A##https://ark.frantiq.fr/ark:/26678/crtrnI4OBYMLK##https://ark.frantiq.fr/ark:/26678/crt62kRiS7fUE##https://ark.frantiq.fr/ark:/26678/pcrtgpav0y2xnw##https://ark.frantiq.fr/ark:/26678/pcrtTzsUdF1uUT;13028##13804##13968##14582##16757##17279##178303##178427##246229##27639##35820;;https://ark.frantiq.fr/ark:/26678/pcrtGrTrckrNHZ;false;;;;2022-09-19 20:30:49.712881+02;2022-09-19 20:30:49.712881+02
https://ark.frantiq.fr/ark:/26678/pcrtaRcMOBwKh6;skos:Concept;https://pactols.frantiq.fr:8099/?idc=13028&idt=TH_1;13028;26678/pcrtaRcMOBwKh6;Staat;State (nation);دولة;Estado (nación);État;;;Stato (nazione);staat (natie);;Nationalstaat;Nation##Nation state##polity;;Estado nación;État-nation;;;Stato nazionale;;;;;;;;;;;;;;;;;Autorité politique souveraine, civile, militaire ou éventuellement religieuse, considérée comme une personne juridique et morale, à laquelle est soumise un groupement humain, vivant sur un territoire donné (CNRTL);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtGrTrckrNHZ;246690;https://ark.frantiq.fr/ark:/26678/crtxthrhRLaAm##https://ark.frantiq.fr/ark:/26678/pcrtOS1KTMvTxh;246232##27502;https://catalogue.bnf.fr/ark:/12148/cb11937050q##https://www.wikidata.org/wiki/Q7275;;;;;https://ark.frantiq.fr/ark:/26678/pcrtrxnswx9qw6##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;13028##13028;;;false;https://ark.frantiq.fr/ark:/26678/pcrtaRcMOBwKh6;;;2007-02-08;2023-08-02
https://ark.frantiq.fr/ark:/26678/pcrtUvvjpjtj9o;skos:Concept;https://pactols.frantiq.fr:8099/?idc=13124&idt=TH_1;13124;26678/pcrtUvvjpjtj9o;Ager Publicus;ager publicus;أملاك عامة;ager publicus;ager publicus;;;ager publicus;ager publicus;;;;;;;;;;;;;;;;;;;;;;;;;;Expression latine désignant dans la Rome ancienne les territoires faisant partie du domaine public (Lar.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtzTPFYJSae5;16436;https://ark.frantiq.fr/ark:/26678/pcrt1GKNPQaWn8##https://ark.frantiq.fr/ark:/26678/pcrtptd3js38vr25xdjdbdh9;150015##354725;https://www.wikidata.org/wiki/Q392990;;;;;https://ark.frantiq.fr/ark:/26678/pcrtrxnswx9qw6##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;13124##13124;;;false;;;;2007-02-08;2023-08-02
https://ark.frantiq.fr/ark:/26678/pcrtpHO0HJvq4L;skos:Concept;https://pactols.frantiq.fr:8099/?idc=13804&idt=TH_1;13804;26678/pcrtpHO0HJvq4L;Zenturie;centuria (administration);وحدة إدارية مئوية;centuria;centurie;;;centuria;centurie;;;;;;;;;;;;;;;;;;;;;;;;;;Unité politique, administrative formée par cent citoyens (Lar.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtGrTrckrNHZ;246690;https://ark.frantiq.fr/ark:/26678/pcrtJtBUSJRN9p##https://ark.frantiq.fr/ark:/26678/pcrtilbSQF6Sce##https://ark.frantiq.fr/ark:/26678/pcrtlp1OFwcxfE;13803##13805##15530;https://www.wikidata.org/wiki/Q191306;;;;;https://ark.frantiq.fr/ark:/26678/pcrtrxnswx9qw6##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;13804##13804;;;false;;;;2007-02-08;2023-08-02
