Id;Candidat;Créé par;Date de création;Traité par;Date de traitement;Message de l'admin;Votes;Votes de notes;Nombre de participants
354719;poudingue;aurelie.devillechaise-Gmail;2024-06-25;blandine.nouvel;2024-06-25;;0;0;0
354718;dolomie;aurelie.devillechaise-Gmail;2024-06-25;blandine.nouvel;2024-06-25;;0;0;0
354715;cale (objet);patricia.moitrel;2024-06-17;blandine.nouvel;2024-06-25;;0;0;5
354714;groupe de Bruebach-Oberbergen;patricia.moitrel;2024-06-17;emmanuelle.bryas;2024-06-18;accepté avec modification de la définition;0;0;1
354713;assèchement des sols;patricia.moitrel;2024-06-17;emmanuelle.bryas;2024-06-18;accepter;0;0;1
354712;cacaoyère;patricia.moitrel;2024-06-14;emmanuelle.bryas;2024-06-18;accepté;0;0;1
354711;plâtrerie;patricia.moitrel;2024-06-12;blandine.nouvel;2024-06-25;;0;0;4
354708;tournoi;manleparc;2024-06-10;blandine.nouvel;2024-06-11;;0;0;0
354705;chanfrein (surface);patricia.moitrel;2024-06-06;patricia.moitrel;2024-06-11;;0;0;1
354706;poupe;patricia.moitrel;2024-06-06;blandine.nouvel;2024-06-11;;0;0;1
354704;hélice;patricia.moitrel;2024-06-04;blandine.nouvel;2024-06-11;;0;0;1
354699;atelier de terre cuite architecturale;patricia.moitrel;2024-06-03;blandine.nouvel;2024-06-04;;0;0;1
354698;antimoine;patricia.moitrel;2024-06-03;blandine.nouvel;2024-06-04;;0;0;1
354697;aire de battage;patricia.moitrel;2024-06-03;blandine.nouvel;2024-06-04;;0;0;1
354700;boisage;patricia.moitrel;2024-06-03;blandine.nouvel;2024-06-11;;0;0;2
354701;cale (bateau);patricia.moitrel;2024-06-03;blandine.nouvel;2024-06-14;;0;0;1
354690;parasite;biph@mnhn.fr;2024-05-31;blandine.nouvel;2024-06-04;;0;0;1
354688;atelier de résinier;patricia.moitrel;2024-05-30;blandine.nouvel;2024-06-04;;0;0;2
354686;Arénien;patricia.moitrel;2024-05-29;blandine.nouvel;2024-06-04;;0;0;1
354687;conserverie;patricia.moitrel;2024-05-29;blandine.nouvel;2024-06-04;;0;0;1
354685;bonobo;biph@mnhn.fr;2024-05-27;blandine.nouvel;2024-06-25;;0;0;4
354684;dissection;biph@mnhn.fr;2024-05-24;blandine.nouvel;2024-06-11;;0;0;4
354683;dynastie Tang;patricia.moitrel;2024-05-22;blandine.nouvel;2024-05-29;;0;0;2
354676;paléontologue;blandine.nouvel;2024-05-07;blandine.nouvel;2024-05-14;;0;0;0
354678;étruscologue;blandine.nouvel;2024-05-07;blandine.nouvel;2024-05-14;;0;0;1
354675;géologue;blandine.nouvel;2024-05-07;blandine.nouvel;2024-05-14;;0;0;0
354679;assyriologue;blandine.nouvel;2024-05-07;blandine.nouvel;2024-05-14;;0;0;3
354677;photographe;blandine.nouvel;2024-05-07;remi.ancel;2024-05-07;;0;0;0
354680;conservateur de musée;blandine.nouvel;2024-05-07;remi.ancel;2024-05-07;;0;0;0
354674;Yoruba;biph@mnhn.fr;2024-04-26;blandine.nouvel;2024-04-30;;0;0;0
354673;dromos;jerome.gonzalez;2024-04-24;blandine.nouvel;2024-04-30;;0;0;0
354672;Thibert Ier;gregoire.meylan;2024-04-24;blandine.nouvel;2024-04-30;;0;0;0
354670;reposoir de la barque;anais.mauriceau;2024-04-19;blandine.nouvel;2024-04-30;;0;0;5
354669;tranchée archéologique;irene.weis;2024-04-16;blandine.nouvel;2024-04-30;;0;0;1
354666;purgerie;irene.weis;2024-04-08;emmanuelle.bryas;2024-06-18;accepté avec la définition proposée par Blandine;0;0;5
354668;orang-outan;biph@mnhn.fr;2024-04-08;blandine.nouvel;2024-06-25;;0;0;7
354664;Ptolémée XII Philopator II Philadelphe;jerome.gonzalez;2024-04-05;blandine.nouvel;2024-04-26;;0;0;0
354663;tenon-mortaise;irene.weis;2024-04-04;irene.weis;2024-04-16;;0;0;3
354659;ricin;pascale.araujo;2024-04-03;blandine.nouvel;2024-05-14;;0;0;2
354657;bagne;patricia.moitrel;2024-03-29;blandine.nouvel;2024-04-20;;0;0;1
