Id;Candidat;Créé par;Date de création;Traité par;Date de traitement;Message de l'admin;Votes;Votes de notes;Nombre de participants
354710;Puerto Rico;biph@mnhn.fr;2024-06-11;emmanuelle.bryas;2024-06-18;Accepté avec ajout de générique, traduction, alignements et modification de la définition;0;0;2
354650;grotte de Fumane;patricia.moitrel;2024-03-28;blandine.nouvel;2024-06-05;;0;0;1
354649;caune de l'Arago;biph@mnhn.fr;2024-03-28;blandine.nouvel;2024-06-06;Candidat accepté avec correction de la définition.;0;0;4
354642;caune de Bélesta;patricia.moitrel;2024-03-05;blandine.nouvel;2024-03-12;;0;0;1
354643;grotte Chauvet;patricia.moitrel;2024-03-05;blandine.nouvel;2024-03-12;;0;0;1
354601;mer d'Iroise;arenlegall;2024-02-01;blandine.nouvel;2024-02-06;;0;1;0
354600;Moknine;anais.mauriceau;2024-01-31;blandine.nouvel;2024-03-05;merci !;0;0;1
354599;grotte du Mas-d'Azil;justine.vincent;2024-01-30;justine.vincent;2024-02-07;;2;0;2
354596;Doggerland;anais.mauriceau;2024-01-18;blandine.nouvel;2024-01-23;;0;0;0
354560;grotte de Foissac;patricia.moitrel;2023-11-07;blandine.nouvel;2023-11-28;;1;0;1
354559;grotte de la Roche-Cotard;patricia.moitrel;2023-11-06;remi.ancel;2024-03-23;;0;0;1
354558;grotte du Renne;patricia.moitrel;2023-11-05;remi.ancel;2023-11-07;;0;0;1
354481;Castellazzo Bormida;anais.mauriceau;2023-09-12;blandine.nouvel;2023-09-19;;0;0;0
354460;mer d'Irlande;arenlegall;2023-07-19;blandine.nouvel;2023-10-09;;0;0;1
354421;Ardenne;Mathilde.Nouvel;2023-04-24;blandine.nouvel;2023-07-20;"corriger la déf. ""Territoire qui occupe l'espace de l'ancien massif qui s'étend en Belgique, France, Luxembourg, Allemagne, située à l'est de la Meuse et de la Sambre et limitée au sud par les plaines de Lorraine et de Champagne, située à l'est de la Meuse et de la Sambre et limitée au sud par les plaines de Lorraine et de Champagne"".";0;0;1
354420;Prévalitaine;anais.mauriceau;2023-04-20;blandine.nouvel;2023-09-15;;0;0;0
354415;Campestrin;anais.mauriceau;2023-04-18;blandine.nouvel;2023-04-18;"TG : Trente Province
Validé le 18/04/23";0;0;0
354407;Kôm Bahig;cynthia.gamal;2023-03-30;blandine.nouvel;2023-04-24;"Définition à corriger : ""Site archéologique de Kôm Bahig, localisé à une cinquantaine de kilomètres à l'ouest de la ville d'Alexandrie dans la région de la Maréotide.""
Modif du TG : non plus Alexandrie mais Basse-Egypte.
Validé le 18/04/23";0;0;1
354400;Weilbach;gregoire.meylan;2023-03-08;blandine.nouvel;2023-04-18;Concept validé. Inséré dans l'arbre ce 18/04/23;0;0;1
265116;Aïn Schkour;miled.rousset;2020-09-29;blandine.nouvel;2023-10-24;;1;0;3
265114;Deir-el-Roumi;miled.rousset;2020-09-29;blandine.nouvel;2023-10-24;;0;0;4
265100;Petras (Sitia);miled.rousset;2020-09-29;remi.ancel;2023-09-27;Renommer Petras (site);2;0;3
